Title,Snowballing?,SnowBallingMethod,Year,Venue,VenueType,VenueWithinSE?,Source,SEActivity,SEProblem,NumOfProbObj,NumOfObj,Constraints?,QuantumOpType,QuantumInspired?,BaseAlgorithm,QuantuamMechanism,QuantumAlgorithm,QuantumProgramming Platform,MathematicalModel,ClassicalMannerForHybrid,QuantumComputingBackend,SimulatorType,ChallengeLabel
Cloning and Beyond: A Quantum Solution to Duplicate Code,N,N/A,[2023],"[ACM SIGPLAN International Symposium on New Ideas, New Paradigms, and Reflections on Programming and Software]",[Conference],[Y],[ACM],[Software maintainance],[Code clone detection],[Single],[Single],[Y],[Quantum],N/A,N/A,N/A,[QA],[D-Wave],[QUBO; QUDO],[Platform],[Quantum hardware],N/A,[Extensible problems; Benchmark scalability; NISQ era]
Quantum Solution for Configuration Selection and Prioritization,N,N/A,[2024],[ACM/IEEE International Workshop on Quantum Software Engineering (Q-SE)],[Workshop],[Y],[ACM]; [IEEE],[Software configuration management],[Configuration selection]; [Configuration prioritization],[Single],[Single],[Y],[Hybrid],N/A,N/A,N/A,[QAOA],[Qiskit],[HUBO; QUBO; Ising model],[Algorithm-inherent],[Ideal classical simulator],[Ideal],[Solution improvement; Parameter tuning]
Research on Genetic Quantum Particle Swarm Optimization Fusion Algorithm in Virtual Machine Scheduling,N,N/A,[2024],[International Conference on Educational Knowledge and Informatization (EKI)],[Conference],[N],[ACM],[Software engineering operations],[Scheduling problem],[Multiple],[Single],[Y],[Classical],[Quantum-inspired],[GA]; [PSO],[Physics-based],N/A,N/A,N/A,N/A,N/A,N/A,[None]
Dynamic Transitive Closure-based Static Analysis through the Lens of Quantum Search,N,N/A,[2024],[ACM Transactions on Software Engineering and Methodology (TOSEM)],[Journal],[Y],[ACM],[Software quality],[DTC problem],N/A,N/A,[N],[Quantum],N/A,N/A,N/A,[Grover's algorithm],[Qiskit],[None],[None],[Ideal classical simulator],[Ideal],[Fault tolerance; NISQ era; Solution improvement]
Quantum-Inspired Digital Annealing for Join Ordering,N,N/A,[2023],[Proceedings of the VLDB Endowment],[Journal],[N],[ACM]; [Web of Science],[Software engineering operations],[Join order problem],[Single],[Single],[Y],[Classical],[Quantum-inspired],[QA],[Physics-based],N/A,[Fujitsu DA],[QUBO],N/A,N/A,N/A,[Overhead; Benchmark scalability]
Quantum-based Automotive Threat Intelligence and Countermeasures,N,N/A,[2024],[International Conference on Evaluation and Assessment in Software Engineering (EASE)],[Conference],[Y],[ACM]; [Scopus],[Software security],[Security attack identification],[Single],[Single],[Un-specified],[Hybrid],N/A,N/A,N/A,[QA],[D-Wave],[BQM],[Platform; Algorithm-inherent],[Quantum hardware],N/A,[Automation; Extensible approaches; Real-world scenarios]
Optimizing Transaction Schedules on Universal Quantum Computers via Code Generation for Grover’s Search Algorithm,N,N/A,[2021],[International Database Engineering & Applications Symposium (IDEAS)],[Conference],[N],[ACM],[Software engineering operations],[Scheduling problem],N/A,N/A,[N],[Quantum],N/A,N/A,N/A,[Grover's algorithm],[Silq],[None],[None],[Ideal classical simulator],[Ideal],[Solution improvement; Extensible problems] 
Test Case Prioritization and Reduction Using Hybrid Quantum-behaved Particle Swarm Optimization,N,N/A,[2022],[IEEE Congress on Evolutionary Computation (CEC)],[Conference],[N],[IEEE],[Software testing],[Test suite minimization]; [Test case prioritization],[Single],[Single],[N],[Classical],[Quantum-inspired],[GA]; [PSO],[Physics-based],N/A,N/A,N/A,N/A,N/A,N/A,[Solution improvement; Extensible approaches; Real-world scenarios]
Evaluating the Performance of a D-Wave Quantum Annealing System for Feature Subset Selection in Software Defect Prediction,N,N/A,[2024],[IEEE International Conference on Quantum Computing and Engineering (QCE)],[Conference],[N],[IEEE],[Software quality],[Software failure prediction],[Single],[Single],[N],[Quantum],N/A,N/A,N/A,[QA],[D-Wave],[QUBO],[Platform],[Quantum hardware],N/A,[Extensible approaches; Benchmark scalability]
An optimized clustering model for heterogeneous cross-project defect prediction using Quantum Crow search,N,N/A,[2022],[International Conference on Software Engineering and Information Technology (ICoSEIT)],[Conference],[Y],[IEEE],[Software quality], [Software failure prediction],[Single],[Single],[N],[Classical],[Quantum-inspired],[CSO]  ,[Un-specified],N/A,N/A,N/A,N/A,N/A,N/A,[None]
Quantum Approximate Optimization Algorithm for Test Case Optimization,N,N/A,[2024],[IEEE Transactions on Software Engineering (TSE)],[Journal],[Y],[IEEE]; [Web of Science],[Software testing],[Test case selection]; [Test suite minimization],[Multiple],[Single],[N],[Hybrid],N/A,N/A,N/A,[QAOA],[Qiskit],[Ising model],[User-side; Algorithm-inherent],[Ideal classical simulator; Noisy classical simulator; Quantum hardware],[Ideal]; [Noisy],[NISQ era; Benchmark scalability; Extensible problems]
Quantum based Fault-Tolerant Load Balancing in Cloud Computing with Quantum Computing,N,N/A,[2023],[International Conference on Innovative Mechanisms for Industry Applications (ICIMIA)],[Conference],[N],[IEEE],[Software engineering operations],[Scheduling problem],[Un-specified],[Un-specified],[N],[Classical],[Quantum-inspired],[PSO],[Un-specified],N/A,N/A,N/A,N/A,N/A,N/A,[Solution improvement; Extensible problems]
A Test Suite Reduction Method Based on Novel Quantum Ant Colony Algorithm,N,N/A,[2017],[International Conference on Information Science and Control Engineering (ICISCE)],[Conference],[N],[IEEE],[Software testing],[Test suite minimization],[Single],[Single],[N],[Classical],[Quantum-inspired],[ACO],[Circuit-based],N/A,N/A,N/A,N/A,N/A,N/A,[Extensible approaches; Extensible problems]
An Effective Approach to High Strength Covering Array Generation in Combinatorial Testing,N,N/A,[2023],[IEEE Transactions on Software Engineering (TSE)],[Journal],[Y],[IEEE]; [Web of Science],[Software testing],[Covering array generation],[Single],[Single],[N],[Classical],[Quantum-inspired],[PSO],[Circuit-based],N/A,N/A,N/A,N/A,N/A,N/A,[Extensible approaches; Solution improvement; Benchmark scalability]
Quantum-inspired ant lion optimized hybrid k-means for cluster analysis and intrusion detection,N,N/A,[2020],[Knowledge-Based Systems (KBS)],[Journal],[N],[IEEE]; [Web of Science],[Software engineering operations]; [Software security],[Security attack identification],[Single],[Single],[N],[Classical],[Quantum-inspired],[ALO],[Circuit-based],N/A,N/A,N/A,N/A,N/A,N/A,[Extensible approaches; Extensible problems]
A novel approach of localization with single mobile anchor using quantum-based Salp swarm algorithm in wireless sensor networks,N,N/A,[2023],[Soft Computing],[Journal],[N],[IEEE]; [Web of Science],[Software engineering operations],[Node localization],[Single],[Single],[N],[Classical],[Quantum-inspired],[SSA],[Un-specified],N/A,N/A,N/A,N/A,N/A,N/A,[Extensible approaches]
An enriched chaotic quantum whale optimization algorithm based job scheduling in cloud computing environment,N,N/A,[2019],[International Journal of Advanced Trends in Computer Science and Engineering (IJAREST)],[Journal],[N],[IEEE]; [Web of Science],[Software engineering operations],[Scheduling problem],[Un-specified],[Un-specified],[N],[Classical],[Quantum-inspired],[WOA],[Physics-based],N/A,N/A,N/A,N/A,N/A,N/A,[None]
Minimizing incident response time in real-world scenarios using quantum computing,N,N/A,[2024],[Software Quality Journal (SQJ)],[Journal],[Y],[Springer],[Software engineering operations]; [Software security],[Security management],[Single],[Single],[Y],[Quantum],N/A,N/A,N/A,[QA],[D-Wave],[QUBO],[Platform],[Quantum hardware],N/A,[Benchmark scalability; Extensible approaches]
Hybrid Optimization-Based GRU Neural Network for Software Reliability Prediction,N,N/A,[2020],"[International conference of pioneering computer scientists, engineers and educators (ICPCSEE)]",[Conference],[N],[Springer],[Software quality], [Software failure prediction],[Single],[Single],[Y],[Classical],[Quantum-inspired],[PSO],[Un-specified],N/A,N/A,N/A,N/A,N/A,N/A,[Parameter tuning]
Quantum Approaches for WCET-Related Optimization Problems,N,N/A,[2022],[International Conference on Computational Science (ICCS)],[Conference],[N],[Springer],[Software quality],[WCET evaluation],[Single],[Single],[Y],[Quantum]; [Hybrid],N/A,N/A,N/A,[QA]; [QAOA],[D-Wave]; [Qiskit],[QUBO]; [QUBO],[Un-specified]; [Algorithm-inherent],[Quantum hardware]; [Classical simulator],[Ideal],[NISQ era; Quantum hardware backend; Parameter tuning]
Comparing the performance of quantum-inspired evolutionary algorithms for the solution of software requirements selection problem,N,N/A,[2016],[Information and software technology],[Journal],[Y],[Web of Science],[Software requirements],[Software requirement selection],[Multiple],[Multiple],[Y],[Classical],[Quantum-inspired],[EA],[Circuit-based],N/A,N/A,N/A,N/A,N/A,N/A,[Extensible approaches; Extensible problems; Real-world scenarios]
Quantum-inspired multi-objective African vultures optimization algorithm with hierarchical structure for software requirement,N,N/A,[2024],[Cluster Computing],[Journal],[N],[Web of Science],[Software requirements],[Software requirement selection],[Multiple],[Multiple],[Y],[Classical],[Quantum-inspired],[AVOA],[Circuit-based],N/A,N/A,N/A,N/A,N/A,N/A,[Benchmark scalability; Solution improvement; Extensible approaches; Real-world scenarios]
Cross-project software defect prediction based on domain adaptation learning and optimization,N,N/A,[2021],[Expert Systems with Applications],[Journal],[N],[Web of Science],[Software quality],[Software failure prediction],[Single],[Single],[N],[Classical],[Quantum-inspired],[PSO],[Physics-based],N/A,N/A,N/A,N/A,N/A,N/A,[Extensible approaches; Extensible problems]
A new quantum particle swarm optimization algorithm for controller placement problem in software-defined networking,N,N/A,[2021],[Computers & Electrical Engineering],[Journal],[N],[Web of Science],[Software engineering operations],[Controller placement],[Single],[Single],[Y],[Classical],[Quantum-inspired],[PSO],[Physics-based],N/A,N/A,N/A,N/A,N/A,N/A,[Extensible approaches]
Parameter optimization of software reliability growth model with S-shaped testing-effort function using improved swarm intelligent optimization,N,N/A,[2016],[Applied Soft Computing],[Journal],[N],[Web of Science],[Software quality],[Software reliability growth model],[Single],[Single],[N],[Classical],[Quantum-inspired],[PSO],[Physics-based],N/A,N/A,N/A,N/A,N/A,N/A,[None]
Improved novel bat algorithm for test case prioritization and minimization,N,N/A,[2022],[Soft Computing],[Journal],[N],[Web of Science],[Software testing],[Test case prioritization]; [Test suite minimization],[Single],[Single],[N],[Classical],[Quantum-inspired],[BA],[Physics-based],N/A,N/A,N/A,N/A,N/A,N/A,[Solution improvement; Extensible approaches; Benchmark scalability; Real-world scenarios]
A synergic quantum particle swarm optimisation for constrained combinatorial test generation,N,N/A,[2022],[IET Software],[Journal],[Y],[IEEE]; [Web of Science],[Software testing],[Covering array generation],[Single],[Single],[Y],[Classical],[Quantum-inspired],[PSO],[Physics-based],N/A,N/A,N/A,N/A,N/A,N/A,[Solution improvement]
How can a hybrid quantum-inspired gravitational search algorithm decrease energy consumption in IoT-based software-defined networks?,N,N/A,[2023],[Sustainable Computing-informatics & Systems],[Journal],[N],[Web of Science],[Software engineering operations],[Communication optimization],[Multiple],[Un-specified],[Y],[Classical],[Quantum-inspired],[GSA],[Circuit-based],N/A,N/A,N/A,N/A,N/A,N/A,[Extensible approaches; Solution improvement; Benchmark scalability]
An Optimized Deployment Mechanism for Virtual Middleboxes in NFV- and SDN-Enabling Network,N,N/A,[2016],[KSII Transactions on Internet and Information Systems (TIIS)],[Journal],[N],[Web of Science],[Software engineering operations],[Service deployment],[Single],[Single],[Y],[Classical],[Quantum-inspired],[GA],[Circuit-based],N/A,N/A,N/A,N/A,N/A,N/A,[Extensible problems]
Quantum algorithm for solving the test-suite minimization problem,N,N/A,[2021],[Cogent Engineering],[Journal],[N],[Web of Science],[Software testing],[Test suite minimization],[Single],[Single],[Y],[Quantum],N/A,N/A,N/A,[Grover's algorithm],[Un-specified],[None],[None],[Un-specified],N/A,[Solution improvement; Extensible problems]
"Test Case Prioritization, Selection, and Reduction Using Improved Quantum-Behaved Particle Swarm Optimization",N,N/A,[2022],[Sensors],[Journal],[N],[Web of Science],[Software testing],[Test case prioritization]; [Test case selection]; [Test suite minimization],[Single],[Single],[N],[Classical],[Quantum-inspired],[PSO],[Physics-based],N/A,N/A,N/A,N/A,N/A,N/A,[Real-world scenarios; Benchmark scalability; Extensible approaches; Solution improvement]
A virtual service placement approach based on improved quantum genetic algorithm,N,N/A,[2016],[Frontiers of Information Technology & Electronic Engineering (FITEE)],[Journal],[N],[Web of Science],[Software engineering operations],[Service deployment],[Single],[Single],[Y],[Classical],[Quantum-inspired],[GA],[Circuit-based],N/A,N/A,N/A,N/A,N/A,N/A,[Extensible problems]
A Dynamic Service Reconfiguration Method for Satellite-Terrestrial Integrated Networks,N,N/A,[2021],[Future Internet],[Journal],[N],[Web of Science],[Software engineering operations],[Service configuration],[Multiple],[Single],[Y],[Classical],[Quantum-inspired],[GA],[Circuit-based],N/A,N/A,N/A,N/A,N/A,N/A,[Solution improvement] 
A quantum inspired hybrid SSA-GWO algorithm for SLA based task scheduling to improve QoS parameter in cloud computing,N,N/A,[2023],[Cluster Computing],[Journal],[N],[Web of Science],[Software engineering operations],[Scheduling problem],[Multiple],[Single],[Y],[Classical],[Quantum-inspired],[SSA],[Physics-based],N/A,N/A,N/A,N/A,N/A,N/A,[Extensible problems]
Research on Security Anomaly Detection for Big Data Platforms Based on Quantum Optimization Clustering,N,N/A,[2022],[Mathematical Problems in Engineering],[Journal],[N],[IEEE]; [Web of Science],[Software security],[Security attack identification],[Single],[Single],[N],[Classical],[Quantum-inspired],[ACO],[Circuit-based],N/A,N/A,N/A,N/A,N/A,N/A,[Parameter tuning]
Joint optimization of load balancing and resource allocation in cloud environment using optimal container management strategy,N,N/A,[2024],[Concurrency and Computation: Practice and Experience (CCPE)],[Journal],[N],[IEEE]; [Web of Science],[Software engineering operations],[Container management],[Single],[Single],[Un-specified],[Classical],[Quantum-inspired],[RNN],[Circuit-based],N/A,N/A,N/A,N/A,N/A,N/A,[Extensible problems]
An Opposition Learning-based Quantum Inspired Salp Swarm Optimization for The Multiobjective Controller Placement Problem,N,N/A,[2023],"[IEEE Uttar Pradesh Section International Conference on Electrical, Electronics and Computer Engineering (UPCON)]",[Conference],[N],[IEEE],[Software engineering operations],[Controller placement],[Multiple],[Multiple],[Y],[Classical],[Quantum-inspired],[SSA],[Physics-based],N/A,N/A,N/A,N/A,N/A,N/A,[Extensible problems; Real-world scenarios]
